1;Crunch!;19.86;28.86;0;0;0;24 oz;4;3;11
2;Crunch!;29.95;39.95;0;1;1;24 oz;5;1;7
3;From Rio;21.67;27.67;1;0;1;16 oz;1;4;7
4;Just pure notes of spice;14.98;16.98;1;0;1;1 lb;1;8;9
5;Little bit of spice;25.54;29.54;0;0;1;8 oz;4;9;20
6;From Rio;18.96;22.96;0;0;1;1 lb;1;7;21
7;Just pure notes of spice;27.16;37.16;0;1;0;24 oz;5;9;4
8;Flakey and buttery;20.69;27.69;1;0;1;8 oz;5;8;2
9;Crunch!;23.0;27.0;1;0;1;8 oz;5;4;23
10;Flakey and buttery;10.49;12.49;0;0;1;24 oz;5;9;9
11;Just pure notes of spice;5.16;11.16;1;1;0;single;4;3;14
12;Little bit of spice;22.11;24.11;0;0;1;single;3;2;27
13;Crunch!;28.82;30.82;0;0;1;16 oz;3;1;22
14;Little bit of spice;8.72;12.72;1;1;1;single;5;7;15
15;Flakey and buttery;11.68;18.68;0;1;0;8 oz;1;9;4
16;Just pure notes of spice;27.55;36.55;0;1;0;8 oz;3;2;1
17;Flakey and buttery;14.61;20.61;0;0;0;1 lb;4;5;18
18;From Rio;27.37;37.37;0;0;0;single;3;4;21
19;Crunch!;12.23;19.23;1;1;0;24 oz;1;2;22
20;Flakey and buttery;21.4;29.4;0;1;1;1 lb;4;8;9
21;Crunch!;22.31;24.31;1;1;1;single;3;2;21
22;From Rio;25.67;27.67;0;1;0;24 oz;5;5;21
23;Crunch!;6.3;12.3;1;0;1;8 oz;3;9;19
24;From Rio;28.54;37.54;1;0;1;single;3;8;16
25;From Rio;29.43;39.43;0;0;1;8 oz;5;5;1
26;Crunch!;10.58;16.58;0;0;0;1 lb;5;2;9
27;Just pure notes of spice;25.03;31.03;0;0;1;24 oz;5;2;4
28;Crunch!;22.88;32.88;1;1;0;24 oz;2;2;22
29;From Rio;25.3;28.3;1;1;0;16 oz;3;9;12
30;Little bit of spice;11.66;14.66;1;1;0;single;3;2;14
31;Little bit of spice;27.09;34.09;1;1;0;single;3;8;22
32;Crunch!;15.14;20.14;1;0;0;1 lb;5;2;31
33;Crunch!;13.13;20.13;1;1;0;8 oz;2;6;15
34;From Rio;26.13;33.13;0;0;0;8 oz;4;8;7
35;From Rio;20.49;29.49;1;1;1;16 oz;1;6;10
36;Just pure notes of spice;27.91;29.91;0;1;0;single;1;4;7
37;Just pure notes of spice;21.54;30.54;1;1;1;single;3;3;26
38;From Rio;25.4;29.4;1;1;0;24 oz;1;6;31
39;Little bit of spice;6.19;8.19;0;1;1;single;4;1;5
40;Little bit of spice;24.11;33.11;1;0;1;single;5;2;31
41;Little bit of spice;8.86;13.86;1;0;0;8 oz;1;7;24
42;Crunch!;6.56;10.56;1;0;1;1 lb;1;1;2
43;Crunch!;11.23;16.23;1;1;0;single;5;8;13
44;Just pure notes of spice;13.87;22.87;1;1;1;single;3;7;30
45;Just pure notes of spice;27.16;32.16;1;1;1;8 oz;3;4;26
46;From Rio;28.94;38.94;0;0;0;8 oz;2;9;21
47;Little bit of spice;28.22;37.22;1;0;0;single;2;8;15
48;Flakey and buttery;20.88;26.88;0;1;0;16 oz;3;1;12
49;Just pure notes of spice;21.75;30.75;0;0;0;1 lb;3;4;4
50;Crunch!;15.08;22.08;0;0;0;single;5;9;6
51;Flakey and buttery;23.16;29.16;1;1;1;1 lb;1;9;8
52;Flakey and buttery;18.76;27.76;0;1;1;8 oz;3;8;20
53;Little bit of spice;8.47;11.47;1;1;1;1 lb;5;2;16
54;Just pure notes of spice;29.85;36.85;0;0;0;8 oz;1;5;11
55;Crunch!;15.56;21.56;1;1;0;8 oz;4;3;19
56;Just pure notes of spice;15.24;22.24;0;1;0;24 oz;5;8;15
57;Just pure notes of spice;11.76;16.76;1;0;0;16 oz;4;7;19
58;Just pure notes of spice;16.83;19.83;0;0;0;16 oz;1;4;25
59;Little bit of spice;15.18;17.18;1;1;1;24 oz;1;7;15
60;Just pure notes of spice;22.23;28.23;0;0;0;single;3;7;26
61;Crunch!;18.82;20.82;0;0;0;24 oz;5;7;7
62;Crunch!;13.77;15.77;0;1;1;16 oz;4;5;11
63;Flakey and buttery;23.58;30.58;0;0;0;1 lb;5;9;1
64;Flakey and buttery;20.16;25.16;0;0;1;single;4;6;11
65;Just pure notes of spice;22.96;28.96;0;0;1;24 oz;1;9;24
66;Little bit of spice;7.16;15.16;1;1;0;24 oz;4;4;17
67;Just pure notes of spice;25.89;28.89;1;0;0;8 oz;3;3;27
68;Little bit of spice;25.4;30.4;0;1;0;1 lb;5;8;10
69;Little bit of spice;25.26;30.26;0;1;0;24 oz;5;5;1
70;From Rio;16.71;22.71;1;1;1;8 oz;1;8;5
71;Just pure notes of spice;19.41;21.41;1;1;1;16 oz;5;5;22
72;Flakey and buttery;20.66;23.66;1;1;0;8 oz;3;5;10
73;Little bit of spice;17.56;22.56;1;1;1;1 lb;4;9;25
74;Crunch!;12.89;19.89;0;1;1;8 oz;1;1;25
75;Crunch!;10.52;16.52;0;0;1;single;5;5;31
76;Crunch!;17.05;23.05;0;0;1;8 oz;5;6;7
77;Crunch!;13.32;17.32;1;0;0;single;5;3;6
78;Little bit of spice;29.33;39.33;0;1;0;1 lb;3;7;26
79;Just pure notes of spice;5.41;9.41;0;0;1;1 lb;4;1;12
80;From Rio;9.83;17.83;1;1;1;16 oz;1;8;2
81;Crunch!;15.4;20.4;1;0;1;single;3;3;23
82;Just pure notes of spice;24.78;29.78;0;1;0;1 lb;1;2;11
83;Little bit of spice;15.73;21.73;1;1;1;1 lb;2;7;6
84;From Rio;24.0;26.0;1;1;0;24 oz;2;5;16
