id;transactionId;transactionTime;inStore;order;lineItemId;quantity;lineItemAmount;unitPrice;promo;transactionDate;salesOutlet;staff;customer;product
1;7;12:04:43;0;1;1;1;2,5;2,5;0;2019-04-01;3;12;558;52
2;11;15:54:39;0;1;1;2;7,0;3,5;0;2019-04-01;3;17;781;27
3;19;14:34:59;1;1;1;2;5,0;2,5;0;2019-04-01;3;17;788;46
4;32;16:06:04;0;1;1;2;5,0;2,5;0;2019-04-01;3;12;683;23
5;33;19:18:37;1;1;1;1;2,45;2,45;0;2019-04-01;3;17;99;34
6;39;18:54:46;1;1;1;1;3,0;3,0;0;2019-04-01;3;17;664;32
7;50;13:03:49;0;1;1;2;6,0;3,0;0;2019-04-01;3;12;316;49
8;53;11:21:14;0;1;1;1;3,75;3,75;0;2019-04-01;3;12;38;60
9;59;19:30:55;1;1;1;2;6,0;3,0;0;2019-04-01;3;12;370;51
10;62;12:01:00;1;1;1;2;6,0;3,0;0;2019-04-01;3;12;180;49
11;81;13:20:51;1;1;1;2;6,2;3,1;0;2019-04-01;3;12;35;35
12;90;11:40:20;0;1;1;1;3,0;3,0;0;2019-04-01;3;17;595;47
13;91;12:27:43;0;1;1;2;4,4;2,2;0;2019-04-01;3;12;500;25
14;94;17:37:02;1;1;1;2;5,0;2,5;0;2019-04-01;3;17;128;23
15;101;12:26:34;1;1;1;2;5,0;2,5;0;2019-04-01;3;17;599;48
16;103;14:33:32;1;1;1;2;6,0;3,0;0;2019-04-01;3;17;152;53
17;108;16:11:18;0;1;1;1;3,75;3,75;0;2019-04-01;3;17;65;40
18;112;13:03:38;1;1;1;2;6,0;3,0;0;2019-04-01;3;12;90;37
19;117;18:25:04;1;1;1;1;3,75;3,75;0;2019-04-01;3;12;82;60
20;120;15:51:44;0;1;1;2;6,0;3,0;0;2019-04-01;3;12;174;53
21;127;13:58:40;0;1;1;2;8,5;4,25;0;2019-04-01;3;12;116;41
22;134;11:49:29;1;1;1;2;7,5;3,75;0;2019-04-01;3;17;189;38
23;135;17:01:36;1;1;1;1;3,75;3,75;0;2019-04-01;3;17;131;40
24;137;11:10:04;1;1;1;1;3,75;3,75;0;2019-04-01;3;17;264;40
25;138;13:17:42;1;1;1;1;3,75;3,75;0;2019-04-01;3;17;722;38
26;141;14:07:25;1;1;1;1;2,5;2,5;0;2019-04-01;3;17;302;50
27;143;13:17:00;1;1;1;2;9,0;4,5;0;2019-04-01;3;12;174;59
28;150;12:24:53;1;1;1;1;2,0;2,0;0;2019-04-01;3;17;604;28
29;156;12:30:00;0;1;1;1;2,45;2,45;0;2019-04-01;3;17;32;34
30;156;12:30:00;0;1;5;1;3,0;3,0;0;2019-04-01;3;17;32;77
