id;transaction_date;quantity_sold;start_of_day;waste;waste_percentage;sales_outlet_id;product_id
1;20.02.2020;22;62;40;35;3616;2273
2;01.04.2019;88;95;7;92;4122;168
3;25.05.2019;87;123;36;70;4587;923
4;07.01.2020;92;94;2;97;2097;2780
5;12.06.2019;46;86;40;53;2208;127
6;14.09.2019;73;80;7;91;672;4058
7;05.11.2019;71;104;33;68;2209;2653
8;11.10.2019;20;59;39;33;2769;3549
9;04.07.2019;49;71;22;69;1611;4297
10;15.11.2019;47;84;37;55;258;3116
11;05.04.2019;87;97;10;89;2196;1105
12;24.10.2019;2;30;28;6;285;1891
13;31.01.2020;53;85;32;62;1367;927
14;16.08.2019;34;46;12;73;543;576
15;21.04.2019;6;16;10;37;223;504
16;09.10.2019;8;38;30;21;609;2791
17;30.12.2019;7;16;9;43;429;4838
18;26.06.2019;36;64;28;56;4704;1042
19;30.11.2019;42;78;36;53;3896;2112
20;11.02.2020;100;131;31;76;52;2171
21;20.06.2019;70;101;31;69;1936;2765
22;29.10.2019;42;71;29;59;551;3795
23;20.07.2019;25;36;11;69;3778;3014
24;11.11.2019;48;70;22;68;3671;4295
25;21.11.2019;23;36;13;63;2305;628
26;30.04.2019;87;107;20;81;4674;1831
27;14.07.2019;40;67;27;59;2984;706
28;02.04.2019;18;55;37;32;3455;95
29;11.07.2019;99;108;9;91;3764;380
30;30.10.2019;19;33;14;57;1178;2405
31;01.03.2020;99;128;29;77;2025;4611
32;24.10.2019;10;26;16;38;1549;4284
33;11.10.2019;40;75;35;53;4412;960
34;23.01.2020;12;24;12;50;2825;28
35;03.04.2019;92;94;2;97;4288;4576
36;28.06.2019;58;60;2;96;1875;1343
37;23.03.2020;96;100;4;96;769;144
38;15.04.2019;79;116;37;68;2938;1661
39;21.01.2020;62;92;30;67;1304;1829
40;02.03.2020;4;18;14;22;2203;4969
41;30.08.2019;43;65;22;66;2216;214
42;03.01.2020;78;82;4;95;3287;1671
43;04.06.2019;79;88;9;89;1546;2683
44;03.11.2019;41;66;25;62;3528;896
45;07.03.2020;63;82;19;76;3270;4157
46;05.05.2019;95;126;31;75;2663;1339
47;06.02.2020;91;104;13;87;733;3901
48;09.11.2019;55;92;37;59;526;1801
49;31.07.2019;19;42;23;45;1352;3766
50;09.07.2019;76;111;35;68;214;1347
51;15.07.2019;50;67;17;74;3912;2865
52;16.06.2019;72;81;9;88;3004;3082
53;09.03.2020;21;39;18;53;3299;3716
54;23.04.2019;68;102;34;66;3754;3392
55;02.02.2020;52;55;3;94;929;2012
56;06.12.2019;74;86;12;86;1287;1463
57;10.11.2019;92;103;11;89;890;3505
58;12.12.2019;89;114;25;78;4372;122
59;01.12.2019;82;109;27;75;2915;4687
60;16.10.2019;2;3;1;66;1332;1255
61;07.04.2019;63;77;14;81;1413;1317
62;23.09.2019;38;73;35;52;2058;2681
63;09.07.2019;34;40;6;85;4167;190
64;16.05.2019;24;43;19;55;351;2135
65;12.08.2019;69;103;34;66;3889;1226
66;10.12.2019;50;65;15;76;2463;4149
67;16.03.2020;44;71;27;61;4376;4497
68;23.03.2020;84;100;16;84;4627;2213
69;01.09.2019;41;43;2;95;1612;4570
70;04.05.2019;28;49;21;57;885;2767
71;21.09.2019;67;71;4;94;4439;3103
72;06.06.2019;69;107;38;64;787;744
73;07.12.2019;82;114;32;71;2757;3071
74;16.09.2019;84;109;25;77;4811;918
75;31.05.2019;71;98;27;72;1946;1373
76;24.11.2019;95;124;29;76;4505;368
77;03.05.2019;90;99;9;90;4014;3567
78;07.02.2020;77;80;3;96;12;4017
79;25.02.2020;76;95;19;80;156;4723
80;26.10.2019;16;46;30;34;1726;3844
81;08.10.2019;5;12;7;41;4262;4699
