id;square_feet;address;city;province;telephone;postal_code;longitude;latitude;sales_outlet_type_id;manager_staff_id
1;1733;2139 Orin Plaza;Tucson;AZ;520-153-0843;85705;-110,9845;32,2691;1;606
2;3101;03453 Lake View Place;Fort Worth;TX;817-192-9856;76121;-97,2915;32,7714;2;2670
3;3957;9 Bonner Avenue;Atlanta;GA;404-376-1678;30392;-84,474;33,8444;2;277
4;2973;4051 Buhler Court;Flint;MI;810-111-1747;48555;-83,7108;43,0113;2;1217
5;3311;587 Fair Oaks Hill;Atlanta;GA;404-190-2799;31196;-84,474;33,8444;2;1498
6;1337;7 Eggendart Hill;Fort Worth;TX;817-182-8591;76147;-97,2915;32,7714;1;279
7;2955;6 Sycamore Parkway;Augusta;GA;706-136-4476;30911;-82,091;33,386;2;3452
8;2121;75440 Walton Plaza;Miami;FL;786-688-6524;33233;-80,4582;25,5584;2;858
9;3773;83 Harbort Way;Buffalo;NY;716-362-4177;14276;-78,8871;42,7684;2;3783
10;2150;863 Thompson Pass;Chicago;IL;312-322-9141;60663;-87,6873;41,8119;1;668
11;3676;067 Towne Hill;Seattle;WA;425-753-0153;98121;-122,3447;47,6151;1;3205
12;2995;7 Coolidge Park;Orlando;FL;321-823-4759;32808;-81,4396;28,5803;1;3352
13;3278;07 Fairfield Trail;Winter Haven;FL;863-174-5960;33884;-81,6736;27,981;2;2121
14;1952;198 Kropf Drive;Peoria;IL;309-216-2817;61640;-89,6177;40,7857;2;4719
15;2635;256 High Crossing Lane;Washington;DC;202-603-9723;20062;-77,0369;38,9;2;2388
16;1680;02147 Carey Hill;Huntington;WV;304-101-5910;25711;-82,2774;38,4134;2;1687
17;3729;40273 Burrows Road;Miami;FL;305-198-8333;33283;-80,4582;25,5584;2;3024
18;3370;408 Green Junction;Asheville;NC;828-493-0569;28815;-82,5286;35,6203;2;2748
19;2817;620 New Castle Park;Concord;CA;925-721-8378;94522;-121,9554;37,7772;2;1104
20;1977;37 Graedel Parkway;Seattle;WA;206-127-3033;98127;-122,3308;47,6063;1;2186
21;2739;64137 Coolidge Plaza;Houston;TX;713-258-6717;77206;-95,4342;29,834;1;77
22;3512;3557 Aberg Park;Hagerstown;MD;240-173-0857;21747;-77,9162;39,5207;2;2623
23;3853;843 Monterey Junction;San Jose;CA;408-501-5806;95118;-121,8896;37,2568;2;733
