id;transaction_datetime;in_store;order;line_item_id;quantity;line_item_amount;unit_price;promo;sales_outlet_id;staff_id;customer_id;product_id
1;2019-04-01 12:04:43;0;1;1;1;2,5;2,5;0;1661;4621;1159;3945
2;2019-04-01 15:54:39;0;1;1;2;7,0;3,5;0;4001;743;1637;1980
3;2019-04-01 14:34:59;1;1;1;2;5,0;2,5;0;4667;2494;454;4850
4;2019-04-01 16:06:04;0;1;1;2;5,0;2,5;0;2316;2208;3863;1735
5;2019-04-01 19:18:37;1;1;1;1;2,45;2,45;0;2875;3274;1549;2000
6;2019-04-01 18:54:46;1;1;1;1;3,0;3,0;0;4188;2741;4580;4270
7;2019-04-01 13:03:49;0;1;1;2;6,0;3,0;0;59;4723;510;1460
8;2019-04-01 11:21:14;0;1;1;1;3,75;3,75;0;3913;3604;1768;2222
9;2019-04-01 19:30:55;1;1;1;2;6,0;3,0;0;1925;4417;1094;2176
10;2019-04-01 12:01:00;1;1;1;2;6,0;3,0;0;4623;2644;2439;4416
11;2019-04-01 13:20:51;1;1;1;2;6,2;3,1;0;1997;2970;4979;1993
12;2019-04-01 11:40:20;0;1;1;1;3,0;3,0;0;2800;1006;4480;4549
13;2019-04-01 12:27:43;0;1;1;2;4,4;2,2;0;4681;3340;4484;3374
14;2019-04-01 17:37:02;1;1;1;2;5,0;2,5;0;325;318;4477;1401
15;2019-04-01 12:26:34;1;1;1;2;5,0;2,5;0;408;4646;3908;943
16;2019-04-01 14:33:32;1;1;1;2;6,0;3,0;0;3277;1593;3504;3817
17;2019-04-01 16:11:18;0;1;1;1;3,75;3,75;0;724;3148;2143;752
18;2019-04-01 13:03:38;1;1;1;2;6,0;3,0;0;1964;2502;3544;3055
19;2019-04-01 18:25:04;1;1;1;1;3,75;3,75;0;2927;4170;3475;2645
20;2019-04-01 15:51:44;0;1;1;2;6,0;3,0;0;4757;4943;2937;3483
21;2019-04-01 13:58:40;0;1;1;2;8,5;4,25;0;569;4622;1488;4798
22;2019-04-01 11:49:29;1;1;1;2;7,5;3,75;0;2312;887;2271;1113
23;2019-04-01 17:01:36;1;1;1;1;3,75;3,75;0;3623;2567;1504;4546
24;2019-04-01 11:10:04;1;1;1;1;3,75;3,75;0;3972;3154;1643;2759
25;2019-04-01 13:17:42;1;1;1;1;3,75;3,75;0;4493;42;2047;2405
26;2019-04-01 14:07:25;1;1;1;1;2,5;2,5;0;1445;4762;1403;4837
27;2019-04-01 13:17:00;1;1;1;2;9,0;4,5;0;3453;793;411;843
28;2019-04-01 12:24:53;1;1;1;1;2,0;2,0;0;4743;2494;454;1812
29;2019-04-01 12:30:00;0;1;1;1;2,45;2,45;0;4733;1364;3972;3716
30;2019-04-01 12:30:00;0;1;5;1;3,0;3,0;0;512;3586;2229;1762
31;2019-04-01 19:07:40;0;1;1;1;4,0;4,0;0;1829;3338;1765;2272
32;2019-04-01 16:44:46;1;1;1;2;5,0;2,5;0;4921;3283;1443;3658
33;2019-04-01 19:54:12;1;1;1;1;3,0;3,0;0;2374;1158;1329;2218
34;2019-04-01 17:52:36;1;1;1;2;6,0;3,0;0;4550;2370;213;4998
35;2019-04-01 14:24:55;1;1;1;2;8,5;4,25;0;2291;4860;502;1935
36;2019-04-01 14:24:55;1;1;5;1;3,75;3,75;0;4001;2774;4091;854
37;2019-04-01 17:26:58;0;1;1;2;6,0;3,0;0;2243;682;4621;1117
38;2019-04-01 17:03:21;0;1;1;1;2,5;2,5;0;714;12;1332;1400
39;2019-04-01 15:03:55;1;1;1;1;3,0;3,0;0;2820;2698;2647;726
40;2019-04-01 14:54:27;0;1;1;2;7,5;3,75;0;4713;200;1557;2616
41;2019-04-01 16:30:12;1;1;1;1;3,75;3,75;0;1937;2364;4417;1796
42;2019-04-01 12:09:11;0;1;1;2;4,0;2,0;0;1402;1403;1387;1990
